,petal_length,petal_width,species,dist
30,3.9,1.1,virginica,1.4430869689661812
31,1.3,0.2,setosa,1.3200378782444084
32,4.5,1.3,virginica,2.074246851269154
33,1.7,0.3,setosa,0.9178779875342911
34,1.4,0.2,setosa,1.2298373876248845
35,3.9,1.2,virginica,1.4705441169852742
36,4.5,1.5,virginica,2.1360009363293826
37,1.5,0.2,setosa,1.1412712210513327
38,1.6,0.4,setosa,0.9656603957913982
39,1.3,0.4,setosa,1.25
40,4.5,1.7,versicolor,2.2141589825484527
41,5.4,2.1,versicolor,3.198827910344663
42,5.3,2.3,versicolor,3.2003906011610517
43,5.1,2.0,versicolor,2.884874347350331
44,6.0,1.8,versicolor,3.6541072781186923
45,4.4,1.4,virginica,2.0081085628023203
46,5.3,1.9,versicolor,3.026962173533062
47,1.4,0.3,setosa,1.1884864324004714
48,4.3,1.3,virginica,1.882153022471871
49,4.3,1.3,virginica,1.882153022471871
50,1.6,0.2,setosa,1.0547511554864493
51,4.8,1.4,virginica,2.3900836805434236
52,1.3,0.3,setosa,1.2816005617976296
53,5.2,2.3,versicolor,3.1132780152116193
54,1.5,0.2,setosa,1.1412712210513327
55,3.5,1.0,virginica,1.0307764064044151
56,4.4,1.4,virginica,2.0081085628023203
57,4.0,1.3,virginica,1.5976545308670458
58,4.7,1.2,virginica,2.245551157288562
59,4.9,1.8,versicolor,2.6196373794859475
60,6.3,1.8,versicolor,3.9423977475642915
61,6.1,2.3,versicolor,3.919502519453202
62,5.7,2.1,versicolor,3.4731109973624514
63,4.6,1.5,virginica,2.2299103120977755
64,1.5,0.1,setosa,1.1926860441876563
65,5.6,2.4,versicolor,3.511765937530575
66,4.6,1.4,virginica,2.1982947936980604
67,5.6,2.4,versicolor,3.511765937530575
68,4.5,1.5,virginica,2.1360009363293826
69,5.4,2.3,versicolor,3.288236609491477
70,1.2,0.2,setosa,1.4115594213493106
71,1.7,0.4,setosa,0.873212459828649
72,1.4,0.2,setosa,1.2298373876248845
73,4.5,1.5,virginica,2.1360009363293826
74,5.0,1.7,virginica,2.6744158240632663
75,3.9,1.4,virginica,1.543534904043313
76,1.5,0.1,setosa,1.1926860441876563
77,1.6,0.6,setosa,0.9124143795447328
78,5.7,2.5,versicolor,3.647259244967377
79,5.6,2.2,versicolor,3.4223529917295203
80,4.7,1.4,virginica,2.2940139493908926
81,3.3,1.0,virginica,0.8381527307120104
82,1.7,0.5,setosa,0.8381527307120106
83,1.3,0.2,setosa,1.3200378782444084
84,4.2,1.3,virginica,1.7867568385205639
85,3.6,1.3,virginica,1.2298373876248845
86,1.5,0.1,setosa,1.1926860441876563
87,1.5,0.2,setosa,1.1412712210513327
88,4.2,1.5,virginica,1.8580904176062047
89,4.0,1.3,virginica,1.5976545308670458
90,5.5,2.1,versicolor,3.289756829919196
91,5.9,2.3,versicolor,3.736642878306676
92,4.1,1.3,virginica,1.6918924315688628
93,5.1,1.6,virginica,2.7354158733179856
94,1.5,0.4,setosa,1.0594810050208545
95,4.4,1.2,virginica,1.952562418976664
96,4.9,1.5,virginica,2.514458192136032
97,3.0,1.1,virginica,0.6103277807866851
98,5.1,1.9,versicolor,2.8429737951658995
99,1.4,0.3,setosa,1.1884864324004714
100,4.0,1.2,virginica,1.5660459763365826
101,5.0,1.5,versicolor,2.6100766272276377
102,6.0,2.5,versicolor,3.913118960624632
103,5.8,2.2,versicolor,3.604511062543712
104,4.7,1.5,virginica,2.324327859833892
105,1.3,0.2,setosa,1.3200378782444084
106,1.4,0.2,setosa,1.2298373876248845
107,5.1,2.3,versicolor,3.026962173533062
108,6.1,2.5,versicolor,4.002811511925087
109,6.1,1.9,versicolor,3.779219496139381
110,5.9,2.1,versicolor,3.6582099447680694
111,5.1,1.8,versicolor,2.80401497856199
112,1.0,0.2,setosa,1.5976545308670458
113,1.6,0.2,setosa,1.0547511554864493
114,1.3,0.2,setosa,1.3200378782444084
115,4.8,1.8,virginica,2.5283393759541064
116,4.5,1.5,virginica,2.1360009363293826
117,4.0,1.3,virginica,1.5976545308670458
118,6.6,2.1,versicolor,4.316537964619331
119,3.8,1.1,virginica,1.346291201783626
120,4.1,1.0,virginica,1.6194134740701642
121,4.9,1.5,virginica,2.514458192136032
122,1.4,0.2,setosa,1.2298373876248845
123,1.5,0.4,setosa,1.0594810050208545
124,1.6,0.2,setosa,1.0547511554864493
125,1.9,0.2,setosa,0.8139410298049854
126,1.9,0.4,setosa,0.6946221994724903
127,4.2,1.2,virginica,1.7585505395068977
128,1.5,0.2,setosa,1.1412712210513327
129,5.0,2.0,versicolor,2.7950849718747373
130,1.5,0.3,setosa,1.0965856099730655
131,6.7,2.2,versicolor,4.443253312607779
132,6.4,2.0,versicolor,4.095424275945046
133,4.9,1.8,versicolor,2.6196373794859475
134,5.5,1.8,versicolor,3.1784430150625633
135,4.1,1.3,virginica,1.6918924315688628
136,3.3,1.0,virginica,0.8381527307120104
137,1.3,0.3,setosa,1.2816005617976296
138,1.4,0.2,setosa,1.2298373876248845
139,4.7,1.4,virginica,2.2940139493908926
140,1.4,0.3,setosa,1.1884864324004714
141,6.7,2.0,versicolor,4.382065722921097
142,4.5,1.5,virginica,2.1360009363293826
143,1.6,0.2,setosa,1.0547511554864493
144,1.4,0.2,setosa,1.2298373876248845
145,1.5,0.2,setosa,1.1412712210513327
146,5.6,1.8,versicolor,3.2729955698106283
147,5.1,1.5,versicolor,2.706011825546961
148,5.0,1.9,versicolor,2.7518175811634027
149,5.6,1.4,versicolor,3.1674121929423706
